샀	数
상	整
샅	敵
새	敷
색	文
샌	斉
샐	斌
샘	斎
샙	斐
샛	斑
샜	斗
생	料
샤	斜
샥	斡
샨	斤
샬	斥
샴	斧
샵	斬
샷	断
샹	斯
섀	新
섄	方
섈	於
섐	施
섕	旅
서	旋
석	族
섞	旗
섟	既
선	日
섣	旦
설	旧
섦	旨
섧	早
섬	旬
섭	旭
섯	旺
섰	昂
성	昆
섶	昇
세	昊
섹	昌
센	明
셀	昏
셈	易
셉	昔
셋	星
셌	映
셍	春
셔	昧
셕	昨
션	昭
셜	是
셤	昴
셥	昼
셧	時
셨	晃
셩	晄
셰	晋
셴	晏
셸	晒
솅	晟
소	晦
속	晧
솎	晨
손	晩
솔	普
솖	景
솜	晴
솝	晶
솟	智
송	暁
솥	暇
솨	暉
솩	暑
솬	暖
솰	暗
솽	暢
쇄	暦
쇈	暫
쇌	暮
쇔	暴
쇗	曇
쇘	曉
쇠	曙
쇤	曜
쇨	曝
쇰	曲
쇱	曳
쇳	更
쇼	書
쇽	曹
숀	曼
숄	曽
숌	曾
숍	替
숏	最
숑	會
수	月
숙	有
순	朋
숟	服
술	朔
숨	朕
숩	朗
숫	望
숭	朝
숯	期
숱	木
숲	未
숴	末
쉈	本
쉐	札
쉑	朱
쉔	朴
쉘	机
쉠	朽
쉥	杉
쉬	杋
쉭	李
쉰	杏
쉴	材
쉼	村
쉽	杓
쉿	杖
슁	杜
슈	束
슉	条
슐	杢
슘	来
슛	杭
슝	杯
스	東
슥	杵
슨	杷
슬	松
슭	板
슴	枇
습	析
슷	枕
승	林
시	枚
식	果
신	枝
싣	枠
실	枡
싫	枢
심	枯
십	架
싯	柁
싱	柄
싶	柊
싸	柏
싹	某
싻	柑
싼	染
쌀	柔
쌈	柘
쌉	柚
쌌	柱
쌍	柳
쌓	柴
쌔	柵
쌕	査
쌘	柾
쌜	柿
쌤	栂
쌥	栃
쌨	栄
쌩	栓
썅	栖
써	栗
썩	校
썬	栢
썰	株
썲	栴
썸	核
썹	根
썼	格
썽	栽
쎄	桁
쎈	桂
쎌	桃
쏀	案
쏘	桐
쏙	桑
쏜	桒
쏟	桓
쏠	桔
쏢	桜
쏨	桝
쏩	桟
쏭	桧
쏴	桶
쏵	梁
쏸	梅
쐈	梓
쐐	梗
쐤	條
쐬	梢
쐰	梧
쐴	梨
쐼	梯
쐽	械
쑈	梱
쑤	梵
쑥	梶
쑨	梼
쑬	棄
쑴	棉
쑵	棋
쑹	棒
쒀	棚
쒔	棟
쒜	森
쒸	棲
쒼	棺
쓩	椀
쓰	椅
쓱	椋
쓴	植
쓸	椎
쓺	椙
쓿	椛
씀	検
씁	椴
씌	椹
씐	椿
씔	楊
씜	楓
씨	楕
씩	楚
씬	楠
씰	楢
씸	業
씹	楯
씻	楳
씽	極
아	楼
악	楽
안	概
앉	榊
않	榎
알	榔
앍	榛
앎	榮
앓	槇
암	構
압	槌
앗	槍
았	様
앙	槙
앝	槻
앞	槽
애	樂
액	樋
앤	樗
앨	標
앰	樟
앱	模
앳	権
앴	横
앵	樫
야	樵
약	樹
얀	樺
얄	樽
얇	橋
얌	橘
얍	橙
얏	機
양	橡
얕	橿
얗	檀
얘	檎
얜	檜
얠	櫂
얩	櫓
어	櫛
억	櫨
언	櫻
얹	欄
얻	欝
얼	欠
얽	次
얾	欣
엄	欧
업	欲
없	欺
엇	欽
었	款
엉	歌
엊	歎
엌	歓
엎	止
에	正
엑	此
엔	武
엘	歩
엠	歪
엡	歯
엣	歳
엥	歴
여	死
역	殆
엮	殉
연	殊
열	残
엶	殖
엷	殴
염	段
엽	殷
엾	殺
엿	殻
였	殿
영	毀
옅	毅
옆	母
옇	毎
예	毒
옌	比
옐	毘
옘	毛
옙	氏
옛	民
옜	気
오	氣
옥	水
온	氷
올	永
옭	氾
옮	汀
옰	汁
옳	求
옴	汎
옵	汐
옷	汗
옹	汚
옻	汝
와	江
왁	池
완	汰
왈	汲
왐	決
왑	汽
왓	沃
왔	沈
왕	沌
왜	沓
왝	沖
왠	沙
왬	没
왯	沢
왱	沫
외	河
왹	沸
왼	油
욀	治
욈	沼
욉	沿
욋	況
욍	泉
요	泊
욕	泌
욘	泓
욜	法
욤	泡
욥	波
욧	泣
용	泥
우	注
욱	泰
운	泳
울	洋
욹	洗
욺	洛
움	洞
웁	津
웃	洩
웅	洪
워	洲
웍	洵
원	洸
월	活
웜	派
웝	流
웠	浄
웡	浅
웨	浜
웩	浦
웬	浩
웰	浪
웸	浬
웹	浮
웽	浴
위	海
윅	浸
윈	消
윌	涌
윔	涙
윕	涛
윗	涜
윙	涯
유	液
육	涵
윤	涼
율	淀
윰	淋
윱	淑
윳	淘
융	淡
윷	淫
으	深
윽	淳
은	淵
을	混
읊	淺
음	添
읍	清
읏	渇
응	済
읒	渉
읓	渋
읔	渓
읕	渕
읖	渚
읗	減
의	渠
읜	渡
읠	渥
읨	渦
읫	温
이	測
익	港
인	渾
일	湊
읽	湖
읾	湘
잃	湛
임	湧
입	湯
잇	湾
있	湿
잉	満
잊	溌
잎	源
자	準
작	溜
잔	溝
잖	溢
잗	溶
잘	溺
잚	滅
잠	滉
잡	滋
잣	滑
잤	滝
장	滞
잦	滴
재	漁
잭	漂
잰	漆
잴	漉
잼	漏
잽	演
잿	漕
쟀	漠
쟁	漢
쟈	漣
쟉	漫
쟌	漬
쟎	漱
쟐	漸
쟘	潅
쟝	潔
쟤	潜
쟨	潟
쟬	潤
저	潮
적	潰
전	澁
절	澄
젊	澗
점	澤
접	澪
젓	澱
정	激
젖	濁
제	濃
젝	濠
젠	濡
젤	濫
젬	濯
젭	濱
젯	濵
젱	瀕
져	瀞
젼	瀦
졀	瀧
졈	瀨
졉	瀬
졌	灘
졍	火
졔	灯
조	灰
족	灸
존	灼
졸	災
졺	炉
좀	炊
좁	炎
좃	炭
종	炳
좆	炸
좇	点
좋	為
좌	烈
좍	烏
좔	烹
좝	焔
좟	焚
좡	無
좨	焦
좼	然
좽	焼
죄	煉
죈	煌
죌	煎
죔	煙
죕	煤
죗	照
죙	煩
죠	煬
죡	煮
죤	煽
죵	熊
주	熔
죽	熙
준	熟
줄	熱
줅	熾
줆	燁
줌	燃
줍	燈
줏	燐
중	燕
줘	燥
줬	燦
줴	燭
쥐	燿
쥑	爆
쥔	爪
쥘	爵
쥠	父
쥡	爺
쥣	爽
쥬	爾
쥰	片
쥴	版
쥼	牌
즈	牒
즉	牙
즌	牛
즐	牝
즘	牟
즙	牡
즛	牢
증	牧
지	物
직	牲
진	特
짇	牽
질	犀
짊	犠
짐	犬
집	犯
짓	状
징	狂
짖	狐
짙	狗
짚	狙
짜	狛
짝	狩
짠	独
짢	狭
짤	狸
짧	狼
짬	狽
짭	猛
짯	猟
짰	猥
짱	猪
째	猫
짹	献
짼	猶
쨀	猷
쨈	猿
쨉	獄
쨋	獅
쨌	獏
쨍	獣
쨔	獨
쨘	獲
쨩	玄
쩌	率
쩍	玉
쩐	王
쩔	玖
쩜	玩
쩝	玲
쩟	玹
쩠	珀
쩡	珂
쩨	珉
쩽	珊
쪄	珍
쪘	珠
쪼	珪
쪽	班
쫀	現
쫄	球
쫌	理
쫍	琉
쫏	琢
쫑	琥
쫓	琳
쫘	琴
쫙	琵
쫠	琶
쫬	瑋
쫴	瑕
쬈	瑚
쬐	瑛
쬔	瑞
쬘	瑠
쬠	瑳
쬡	璃
쭁	璧
쭈	環
쭉	璽
쭌	瓜
쭐	瓢
쭘	瓦
쭙	瓶
쭝	甑
쭤	甘
쭸	甚
쭹	甜
쮜	生
쮸	産
쯔	甥
쯤	甦
쯧	用
쯩	甫
찌	田
찍	由
찐	甲
찔	申
찜	男
찝	町
찡	画
찢	界
찧	畏
차	畑
착	畔
찬	留
찮	畜
찰	畝
참	畠
찹	畢
찻	略
찼	畦
창	番
찾	異
채	畳
책	當
챈	畷
챌	畿
챔	疋
챕	疎
챗	疏
챘	疑
챙	疫
챠	疲
챤	疵
챦	疹
챨	疾
챰	病
챵	症
처	痔
척	痕
천	痘
철	痛
첨	痢
첩	痩
첫	痴
첬	療
청	癌
체	癒
첵	癖
첸	癸
첼	発
쳄	登
쳅	白
쳇	百
쳉	的
쳐	皆
쳔	皇
쳤	皐
쳬	皓
쳰	皮
촁	皿
초	盃
촉	盆
촌	盈
촐	益
촘	盗
촙	盛
촛	盟
총	監
촤	盤
촨	目
촬	盲
촹	直
최	相
쵠	盾
쵤	省
쵬	眈
쵭	眉
쵯	看
쵱	県
쵸	眞
춈	真
추	眠
축	眷
춘	眺
출	眼
춤	着
춥	睡
춧	督
충	睦
춰	睿
췄	瞑
췌	瞥
췐	瞬
취	瞭
췬	瞳
췰	矛
췸	矢
췹	知
췻	矧
췽	矩
츄	短
츈	矯
츌	石
츔	砂
츙	研
츠	砕
측	砥
츤	砦
츨	砧
츰	砲
츱	破
츳	砺
층	砿
치	硝
칙	硫
친	硬
칟	硯
칠	硲
칡	碁
침	碇
칩	碍
칫	碑
칭	碓
카	碕
칵	碗
칸	碧
칼	碩
캄	確
캅	磁
캇	磊
캉	磋
캐	磐
캑	磨
캔	磯
캘	礁
캠	礎
캡	礒
캣	示
캤	礼
캥	社
캬	祁
캭	祇
컁	祈
커	祉
컥	祐
컨	祓
컫	祖
컬	祝
컴	神
컵	祢
컷	祥
컸	票
컹	祭
케	祷
켁	禁
켄	禄
켈	禅
켐	禍
켑	禎
켓	福
켕	禦
켜	禰
켠	禽
켤	禾
켬	禿
켭	秀
켯	私
켰	秉
켱	秋
켸	科
코	秒
콕	秘
콘	租
콜	秤
콤	秦
콥	秩
콧	称
콩	移
콰	稀
콱	程
콴	税
콸	稔
쾀	稗
쾅	稚
쾌	稜
쾡	種
쾨	稲
쾰	稼
쿄	稽
쿠	稿
쿡	穀
쿤	穂
쿨	穆
쿰	積
쿱	穎
쿳	穏
쿵	穐
쿼	穣
퀀	穫
퀄	穴
퀑	究
퀘	空
퀭	穿
퀴	突
퀵	窃
퀸	窄
퀼	窒
큄	窓
큅	窟
큇	窪
큉	窮
큐	窯
큔	窺
큘	竃
큠	竈
크	立
큭	竑
큰	竜
클	章
큼	竣
큽	童
킁	竪
키	端
킥	競
킨	竹
킬	竺
킴	竿
킵	笈
킷	笑
킹	笘
타	笛
탁	笠
탄	笥
탈	符
탉	第
탐	笹
탑	筆
탓	筈
탔	等
탕	筋
태	筏
택	筑
탠	筒
탤	答
탬	策
탭	筧
탯	箆
탰	箇
탱	箔
탸	箕
턍	算
터	管
턱	箪
턴	箭
털	箱
